Constituency,Candidate Name,Party,Total Votes,Percentage of Votes,Margin,NOTA Votes,Voter Turnout,Gender
Hooghly,Rachna Banerjee,AITC,702744,46.31%,-,13352,1517511,Female
Kandhamal,Sukanta Kumar Panigrahi,BJP,416415,41.8%,-,-,996091,Male
Begusarai,Giriraj Singh,BJP,649331,51.9%,81480,22382,-,Male
Patna Sahib,Ravi Shankar Prasad,BJP,588270,54.7%,-,-,-,Male
Bathinda,Harsimrat Kaur Badal,SAD,376558,32.71%,49656,-,-,Female
Maharashtra,-,INC,13 seats,-,-,-,-,-
Maharashtra,-,BJP,9 seats,-,-,-,-,-
Maharashtra,-,SHSUBT,9 seats,-,-,-,-,-
Maharashtra,-,NCPSP,8 seats,-,-,-,-,-
Maharashtra,-,SHS,7 seats,-,-,-,-,-
